No.,Vulnerability Title,Vulnerability ID,Severity,Affected Versions,Vulnerability Link
28,Unicode canonicalization drift in node metadata policy classification could broaden node allowlists,GHSA-392f-ggf5-fp3c,Moderate,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-392f-ggf5-fp3c
29,"system.run approvals did not bind PATH-token executable identity, enabling post-approval executable rebind",GHSA-q399-23r3-hfx4,High,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-q399-23r3-hfx4
30,Sandboxed sessions_spawn now enforces sandbox inheritance for cross-agent spawns,GHSA-p7gr-f84w-hqg5,High,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-p7gr-f84w-hqg5
31,Sandbox media TOCTOU could read files outside sandbox root,GHSA-7xmq-g46g-f8pv,Moderate,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-7xmq-g46g-f8pv
32,TOCTOU symlink race in writeFileWithinRoot could create or truncate files outside root boundaries,GHSA-x82f-27x3-q89c,Moderate,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-x82f-27x3-q89c
33,Unauthorized sender bypass in stop triggers and /models command authorization,GHSA-8m9v-xpgf-g99m,Moderate,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-8m9v-xpgf-g99m
34,ACPX Windows wrapper shell fallback allowed cwd injection in specific paths,GHSA-6f6j-wx9w-ff4j,High,">= 2026.2.26, < 2026.3.1",https://github.com/openclaw/openclaw/security/advisories/GHSA-6f6j-wx9w-ff4j
35,web_search citation redirect SSRF via private-network-allowing policy,GHSA-g99v-8hwm-g76g,Moderate,<= 2026.2.26,https://github.com/openclaw/openclaw/security/advisories/GHSA-g99v-8hwm-g76g
36,Node system.run approval bypass via parent-symlink cwd rebind,GHSA-f7ww-2725-qvw2,Moderate,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-f7ww-2725-qvw2
37,Cross-account DM pairing authorization bypass via unscoped pairing store access,GHSA-vjp8-wprm-2jw9,Low,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-vjp8-wprm-2jw9
38,voice-call Twilio replay dedupe now bound to authenticated webhook identity,GHSA-gcj7-r3hg-m7w6,Low,<=2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-gcj7-r3hg-m7w6
39,Microsoft Teams media fetch SSRF hardening: unified guarded fetch across Graph and attachment paths,GHSA-7qf6-h84j-8fq4,Moderate,<=2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-7qf6-h84j-8fq4
40,BlueBubbles group allowlist mismatch via DM pairing-store fallback,GHSA-25pw-4h6w-qwvm,Low,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-25pw-4h6w-qwvm
41,Node system.run approval context-binding weakness in approval-enabled host=node flows,GHSA-hjvp-qhm6-wrh2,Moderate,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-hjvp-qhm6-wrh2
42,DM pairing-store identities could satisfy group allowlist authorization,GHSA-jv6r-27ww-4gw4,Moderate,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-jv6r-27ww-4gw4
43,Gateway plugin auth bypass via encoded dot-segment traversal in protected /api/channels paths,GHSA-mwxv-35wr-4vvj,High,<=2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-mwxv-35wr-4vvj
44,Signal group allowlist authorization bypass via DM pairing-store leakage,GHSA-wm8r-w8pf-2v6w,Low,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-wm8r-w8pf-2v6w
45,Node reconnect metadata spoofing could bypass platform-based node command policy,GHSA-r65x-2hqr-j5hf,High,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-r65x-2hqr-j5hf
46,Sandbox dangling-symlink alias handling could bypass workspace-only write boundary,GHSA-qcc4-p59m-p54m,High,<=2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-qcc4-p59m-p54m
47,workspace path guard bypass on non-existent out-of-root symlink leaf,GHSA-mgrq-9f93-wpp5,High,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-mgrq-9f93-wpp5
48,LINE group allowlist scope mismatch with DM pairing-store entries,GHSA-gp3q-wpq4-5c5h,High,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-gp3q-wpq4-5c5h
49,Slack system events bypass sender authorization in member and message subtype handlers,GHSA-v8cg-4474-49v8,Moderate,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-v8cg-4474-49v8
50,/api/channels gateway-auth boundary bypass via path canonicalization mismatch,GHSA-8j2w-6fmm-m587,Moderate,<= 2026.2.25,https://github.com/openclaw/openclaw/security/advisories/GHSA-8j2w-6fmm-m587
51,IPv6 multicast SSRF classifier bypass,GHSA-h97f-6pqj-q452,Low,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-h97f-6pqj-q452
52,Nextcloud Talk webhook replay could trigger duplicate inbound processing,GHSA-r9q5-c7qc-p26w,Moderate,<=2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-r9q5-c7qc-p26w
53,macOS beta onboarding exposed PKCE verifier via OAuth state,GHSA-6g25-pc82-vfwp,Low,<=2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-6g25-pc82-vfwp
54,Gateway agents.files symlink escape allowed out-of-workspace file read/write,GHSA-fgvx-58p6-gjwc,Moderate,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-fgvx-58p6-gjwc
55,Unpaired device identity can bypass operator pairing and self-assign operator scopes with shared auth,GHSA-553v-f69r-656j,Moderate,>= 2026.2.22 <= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-553v-f69r-656j
56,"Signal reaction-only status events could, in limited cases, be enqueued before access checks",GHSA-792q-qw95-f446,Moderate,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-792q-qw95-f446
57,Telegram message_reaction authorization bypass allows unauthorized system-event injection,GHSA-qj22-xqjr-v83v,Moderate,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-qj22-xqjr-v83v
58,Browser trace/download path symlink escape in temp output handling,GHSA-36h3-7c54-j27r,Moderate,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-36h3-7c54-j27r
59,Discord DM reaction ingress missed dmPolicy/allowFrom checks in restricted setups,GHSA-354r-7mfh-7rh2,Moderate,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-354r-7mfh-7rh2
60,Trusted-proxy Control UI pairing bypass allowed unpaired node sessions,GHSA-vvgp-4c28-m3jm,Moderate,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-vvgp-4c28-m3jm
61,system.run approval identity mismatch could execute a different binary than displayed,GHSA-hwpq-rrpf-pgcq,High,<=2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-hwpq-rrpf-pgcq
62,Hardlink alias checks could bypass workspace-only file boundaries in specific configurations,GHSA-3jx4-q2m7-r496,High,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-3jx4-q2m7-r496
63,Slack reaction/pin sender-policy consistency issue in non-message ingress,GHSA-rm2p-j3r7-4x4j,Low,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-rm2p-j3r7-4x4j
64,system.run approval TOCTOU via mutable symlink cwd target on node host,GHSA-mwcg-wfq3-4gjc,Moderate,<=2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-mwcg-wfq3-4gjc
65,Sandbox media fallback tmp symlink alias bypass allows host file reads outside sandboxRoot,GHSA-xmv6-r34m-62p4,Moderate,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-xmv6-r34m-62p4
66,MS Teams fileConsent/invoke missing conversation binding allowed cross-conversation pending-upload consumption,GHSA-j26j-7qc4-3mrf,Moderate,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-j26j-7qc4-3mrf
67,Slack interactive callbacks could skip configured sender checks in some shared-workspace flows,GHSA-x2ff-j5c2-ggpr,High,<= 2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-x2ff-j5c2-ggpr
68,Browser-origin WebSocket auth hardening gap could enable loopback password brute-force chains,GHSA-jmmg-jqc7-5qf4,High,<=2026.2.24,https://github.com/openclaw/openclaw/security/advisories/GHSA-jmmg-jqc7-5qf4
69,Zalo group sender allowlist bypass permits unauthorized GROUP dispatch,GHSA-534w-2vm4-89xr,Moderate,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-534w-2vm4-89xr
70,"Synology Chat dmPolicy=allowlist failed open on empty allowedUserIds, allowing unauthorized agent dispatch",GHSA-gw85-xp4q-5gp9,Moderate,">= 2026.2.22, <= 2026.2.23",https://github.com/openclaw/openclaw/security/advisories/GHSA-gw85-xp4q-5gp9
71,safeBins static default trusted dirs allow writable-dir binary hijack (`jq`),GHSA-5gj7-jf77-q2q2,Moderate,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-5gj7-jf77-q2q2
72,Temporary path handling could write outside OpenClaw temp boundary,GHSA-33hm-cq8r-wc49,Moderate,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-33hm-cq8r-wc49
73,Message action attachment hydration bypasses local media root checks when sandboxRoot is unset,GHSA-fqcm-97m6-w7rm,Moderate,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-fqcm-97m6-w7rm
74,system.run shell-wrapper positional argv carriers could execute hidden commands under misleading approval text,GHSA-6rcp-vxwf-3mfp,Moderate,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-6rcp-vxwf-3mfp
75,Sandbox bind validation could bypass allowed-root and blocked-path checks via symlink-parent missing-leaf paths,GHSA-m8v2-6wwh-r4gc,Moderate,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-m8v2-6wwh-r4gc
76,Workspace-only sandbox guard mismatch for @-prefixed absolute paths,GHSA-27cr-4p5m-74rj,Moderate,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-27cr-4p5m-74rj
77,Telegram: Unauthorized Senders Trigger Media Download and Disk Write Before Access Check,GHSA-h656-5vcf-cm23,Moderate,<=2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-h656-5vcf-cm23
78,sandbox network isolation bypass via docker.network=container:<id>,GHSA-ww6v-v748-x7g9,Low,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-ww6v-v748-x7g9
79,Dispatch-wrapper depth-cap mismatch can bypass shell-wrapper approval gating in system.run allowlist mode,GHSA-ccg8-46r6-9qgj,Moderate,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-ccg8-46r6-9qgj
80,Native prompt image auto-load did not honor tools.fs.workspaceOnly in sandboxed runs,GHSA-9f72-qcpw-2hxc,High,<= 2026.2.23,https://github.com/openclaw/openclaw/security/advisories/GHSA-9f72-qcpw-2hxc
81,DUPLICATE of GHSA-3c6h-g97w-fg78: safeBins denied flags can be bypassed via GNU long-option abbreviations,GHSA-8j9w-9pm5-pv8m,Moderate,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-8j9w-9pm5-pv8m
82,ACP permission auto-approval bypass via untrusted tool metadata,GHSA-7jx5-9fjg-hp4m,Moderate,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-7jx5-9fjg-hp4m
83,exec allowlist/safeBins policy-runtime mismatch via env -S wrapper interpretation,GHSA-796m-2973-wc5q,High,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-796m-2973-wc5q
84,exec allow-always can be bypassed via unrecognized multiplexer shell wrappers (busybox/toybox sh -c),GHSA-gwqp-86q6-w47g,Moderate,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-gwqp-86q6-w47g
85,commands.allowFrom sender authorization accepted conversation identifiers via ctx.From,GHSA-2ch6-x3g4-7759,Moderate,<=2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-2ch6-x3g4-7759
86,voice-call Twilio webhook replay could bypass manager dedupe because normalized event IDs were randomized per parse,GHSA-vqx8-9xxw-f2m7,Moderate,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-vqx8-9xxw-f2m7
87,image tool bypasses tools.fs.workspaceOnly on sandbox mount paths and exfiltrates out-of-workspace images,GHSA-q6qf-4p5j-r25g,Moderate,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-q6qf-4p5j-r25g
88,Experimental apply_patch may bypass workspace-only checks in opt-in sandbox mounts (off by default),GHSA-h9xm-j4qg-fvpg,Moderate,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-h9xm-j4qg-fvpg
89,allowlist exec-guard bypass via env -S,GHSA-48wf-g7cp-gr3m,Moderate,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-48wf-g7cp-gr3m
90,Node exec approvals could be replayed across nodes,GHSA-6x2m-hqfw-hvpj,Moderate,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-6x2m-hqfw-hvpj
91,iOS deep link (openclaw://agent) can trigger gateway agent requests without local confirmation,GHSA-2j9j-gf59-p4p5,Low,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-2j9j-gf59-p4p5
92,tools.exec.safeBins sort long-option abbreviation bypass can skip exec approval in allowlist mode,GHSA-3c6h-g97w-fg78,High,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-3c6h-g97w-fg78
93,shell-env trusted-prefix fallback allowed attacker-controlled binary execution via $SHELL,GHSA-p4wh-cr8m-gm6c,Moderate,">= 2026.2.22, <= 2026.2.22-2",https://github.com/openclaw/openclaw/security/advisories/GHSA-p4wh-cr8m-gm6c
94,non-default autoAllowSkills setting could bypass on-miss exec prompt,GHSA-7ff8-xjh3-mgh6,Moderate,<=2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-7ff8-xjh3-mgh6
95,HTML injection via unvalidated image MIME type in data-URL interpolation,GHSA-2ww6-868g-2c56,Moderate,<= 2026.2.22,https://github.com/openclaw/openclaw/security/advisories/GHSA-2ww6-868g-2c56
96,Stored XSS in exported session HTML viewer via markdown/raw-HTML rendering,GHSA-r294-2894-92j3,Moderate,<= 2026.2.22-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-r294-2894-92j3
97,"voice-call media stream validated streams after upgrade, which could allow pre-start unauthenticated sockets to increase resource pressure",GHSA-mfg5-7q5g-f37j,High,<= 2026.2.21,https://github.com/openclaw/openclaw/security/advisories/GHSA-mfg5-7q5g-f37j
98,Non-default safeBins sort configuration can bypass intended allowlist approval constraints,GHSA-vmqr-rc7x-3446,Moderate,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-vmqr-rc7x-3446
99,tools.exec.safeBins trusted PATH directories allowed binary shadowing in allowlist mode,GHSA-qhrr-grqp-6x2g,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-qhrr-grqp-6x2g
100,Avatar symlink traversal can expose out-of-workspace local files,GHSA-rx3g-mvc3-qfjf,Moderate,<=2026.2.21 || =2026.2.21-1 || =2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-rx3g-mvc3-qfjf
101,allow-always wrapper persistence could bypass future approvals and enable command execution,GHSA-6j27-pc5c-m8w8,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-6j27-pc5c-m8w8
102,system.run allowlist bypass via shell line-continuation command substitution,GHSA-9868-vxmx-w862,Moderate,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-9868-vxmx-w862
103,Elevated allowFrom matching tightened for sender-scoped authorization,GHSA-f6h3-846h-2r8w,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-f6h3-846h-2r8w
104,Typed sender-key matching for toolsBySender prevents identity-collision policy bypass,GHSA-wpph-cjgr-7c39,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-wpph-cjgr-7c39
105,Feishu allowFrom authorization bypass via display-name collision,GHSA-j4xf-96qf-rx69,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-j4xf-96qf-rx69
106,Incomplete IPv4 special-use SSRF blocking in web fetch guard,GHSA-4rqq-w8v4-7p47,Low,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-4rqq-w8v4-7p47
107,Shell-env fallback trusted startup env and could execute attacker-influenced login-shell paths,GHSA-5h2c-8v84-qpvr,Moderate,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-5h2c-8v84-qpvr
108,tools.exec.safeBins generic fallback allowed interpreter-style inline payload execution in allowlist mode,GHSA-8mf7-vv8w-hjr2,Low,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-8mf7-vv8w-hjr2
109,system.run shell-wrapper env injection via SHELLOPTS/PS4 can bypass allowlist intent (RCE),GHSA-2fgq-7j6h-9rm4,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-2fgq-7j6h-9rm4
110,Hook auth rate limiter bypass via IPv4-mapped IPv6 client key variants,GHSA-5847-rm3g-23mw,Moderate,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-5847-rm3g-23mw
111,Agent avatar symlink traversal in gateway session metadata,GHSA-9mph-4f7v-fmvh,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-9mph-4f7v-fmvh
112,Gateway auth token reuse in owner ID prompt hashing fallback,GHSA-v6x2-2qvm-6gv8,Low,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-v6x2-2qvm-6gv8
113,Hook transform path containment missed symlink-resolved escapes,GHSA-659f-22xc-98f2,Moderate,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-659f-22xc-98f2
114,Shell startup env injection bypasses system.run allowlist intent (RCE class),GHSA-xgf2-vxv2-rrmg,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-xgf2-vxv2-rrmg
115,Exec allowlist wrapper analysis did not unwrap env/shell dispatch chains,GHSA-jj82-76v6-933r,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-jj82-76v6-933r
116,macOS optional allowlist basename matching could bypass path-based policy,GHSA-7f4q-9rqh-x36p,Moderate,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-7f4q-9rqh-x36p
117,macOS `system.run` allowlist bypass via quoted command substitution,GHSA-9p38-94jf-hgjj,Moderate,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-9p38-94jf-hgjj
118,Inbound media downloads could exceed configured byte limits before rejection across multiple channels,GHSA-rxxp-482v-7mrh,Moderate,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-rxxp-482v-7mrh
119,MSTeams attachment redirect handling could bypass configured media host allowlists,GHSA-w76h-8m22-hpgh,Moderate,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-w76h-8m22-hpgh
120,Control UI Static File Handler Follows Symlinks and Allows Out-of-Root File Read,GHSA-5ghc-98wh-gwwf,Low,<=2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-5ghc-98wh-gwwf
121,Shell env fallback trusts unvalidated SHELL path from host environment,GHSA-f8mp-vj46-cq8v,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-f8mp-vj46-cq8v
122,Node role device-identity bypass allows unauthorized node.event injection,GHSA-rv2q-f2h5-6xmg,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-rv2q-f2h5-6xmg
123,BlueBubbles (optional plugin) pairing/allowlist mismatch when allowFrom is empty,GHSA-jwf4-8wf4-jf2m,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-jwf4-8wf4-jf2m
124,Discord `allowFrom` slug-collision authorization bypass,GHSA-4cqv-h74h-93j4,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-4cqv-h74h-93j4
125,Zip extraction symlink traversal could write outside destination,GHSA-jxrq-8fm4-9p58,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-jxrq-8fm4-9p58
126,non-default configuration: manually adding sort to tools.exec.safeBins could bypass allowlist approval via --compress-program,GHSA-4gc7-qcvf-38wg,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-4gc7-qcvf-38wg
127,Loopback CDP probe can leak Gateway token to local listener,GHSA-v3j7-34xh-6g3w,Moderate,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-v3j7-34xh-6g3w
128,macOS companion app (beta): allowlist parsing mismatch for system.run shell chains,GHSA-5f9p-f3w2-fwch,Low,<= 2026.2.21-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-5f9p-f3w2-fwch
129,Gateway tokenless Tailscale auth applied to HTTP routes,GHSA-hff7-ccv5-52f8,Moderate,<=2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-hff7-ccv5-52f8
130,OpenClaw safeBins grep -e File Read Bypass (stdin-only policy bypass),GHSA-3xfw-4pmr-4xc5,Moderate,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-3xfw-4pmr-4xc5
131,"Browser navigation guard allowed non-network URL schemes, enabling authenticated browser-tool users to access file:// local files.",GHSA-45cg-2683-gfmq,Moderate,<= 2026.2.19-2,https://github.com/openclaw/openclaw/security/advisories/GHSA-45cg-2683-gfmq
